date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:24	244/244	---MC-	200	added ('OK')	text/plain	date:Thu,%2023%20May%202024%2004:57:23%20GMT	https://orlab.com.vn/robots.txt		(from )
11:57:25	129967/129967	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2004:57:23%20GMT	https://orlab.com.vn/	E:/Projects/orlab/orlab/orlab.com.vn/index.html	(from )
11:57:26	23423/23423	---M--	200	added ('OK')	text/css	etag:%2265e6c224-5b7f%22	https://orlab.com.vn/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=7.2.1	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslideraf8d.css	(from https://orlab.com.vn/)
11:57:26	1142494/1142494	---M--	200	added ('OK')	image/jpeg	etag:%2265e6c22a-116ede%22	https://orlab.com.vn/wp-content/uploads/2022/08/hero-2-1.jpg	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/uploads/2022/08/hero-2-1.jpg	(from https://orlab.com.vn/)
11:57:27	78008/78008	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2004:57:25%20GMT	https://orlab.com.vn/vi/	E:/Projects/orlab/orlab/orlab.com.vn/vi/index.html	(from https://orlab.com.vn/)
11:57:27	110147/110147	---M--	200	added ('OK')	text/css	etag:%2265e6c21f-1ae43%22	https://orlab.com.vn/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	E:/Projects/orlab/orlab/orlab.com.vn/wp-includes/css/dist/block-library/style.min84fc.css	(from https://orlab.com.vn/)
11:57:27	9592/9592	---MC-	200	added ('OK')	application/rss+xml	etag:%22b873b6561697ddd63638ffb2c5e5aaf6%22	https://orlab.com.vn/feed/	E:/Projects/orlab/orlab/orlab.com.vn/feed/index.html	(from https://orlab.com.vn/)
11:57:27	2859/2859	---M--	200	added ('OK')	text/css	etag:%2265e6c229-b2b%22	https://orlab.com.vn/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.7	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/contact-form-7/includes/css/stylesf2b4.css	(from https://orlab.com.vn/)
11:57:27	71578/71578	---MC-	404	error ('Not%20Found')	application/rss+xml	etag:%22b873b6561697ddd63638ffb2c5e5aaf6%22	https://orlab.com.vn/comments/feed/	E:/Projects/orlab/orlab/orlab.com.vn/comments/feed/index.html	(from https://orlab.com.vn/)
11:57:27	103145/103145	---M--	200	added ('OK')	text/css	etag:%22663a53e0-192e9%22	https://orlab.com.vn/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=6.4.3	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/download-manager/assets/fontawesome/css/all.min84fc.css	(from https://orlab.com.vn/)
11:57:27	57872/57872	---M--	200	added ('OK')	text/css	etag:%22663a53e0-e210%22	https://orlab.com.vn/wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.min.css?ver=6.4.3	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.min84fc.css	(from https://orlab.com.vn/)
11:57:28	65568/65568	---M--	200	added ('OK')	text/css	etag:%22663a53e0-10020%22	https://orlab.com.vn/wp-content/plugins/download-manager/assets/css/front.css?ver=6.4.3	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/download-manager/assets/css/front84fc.css	(from https://orlab.com.vn/)
11:57:28	5789/5789	---M--	200	added ('OK')	text/css	etag:%2265e75325-169d%22	https://orlab.com.vn/wp-content/plugins/simple-file-list/css/styles.css?ver=6.1.11	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/simple-file-list/css/stylesdf16.css	(from https://orlab.com.vn/)
11:57:28	38599/38599	---M--	200	added ('OK')	text/css	etag:%22663a5464-96c7%22	https://orlab.com.vn/wp-content/plugins/wp-job-openings/assets/css/general.min.css?ver=3.4.6	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/wp-job-openings/assets/css/general.min9bf7.css	(from https://orlab.com.vn/)
11:57:28	18821/18821	---M--	200	added ('OK')	text/css	etag:%22663a5464-4985%22	https://orlab.com.vn/wp-content/plugins/wp-job-openings/assets/css/style.min.css?ver=3.4.6	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/wp-job-openings/assets/css/style.min9bf7.css	(from https://orlab.com.vn/)
11:57:28	19443/19443	---M--	200	added ('OK')	text/css	etag:%2265e6c229-4bf3%22	https://orlab.com.vn/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minfc13.css	(from https://orlab.com.vn/)
11:57:29	105535/105535	---M--	200	added ('OK')	text/css	etag:%2265e6c229-19c3f%22	https://orlab.com.vn/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.14.0	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/elementor/assets/css/frontend-lite.mindf38.css	(from https://orlab.com.vn/)
11:57:29	16471/16471	---M--	200	added ('OK')	text/css	etag:%2265e6c22a-4057%22	https://orlab.com.vn/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://orlab.com.vn/)
11:57:29	1160/1160	---M--	200	added ('OK')	text/css	etag:%2265e6c22e-488%22	https://orlab.com.vn/wp-content/uploads/elementor/css/post-6.css?ver=1709627772	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/uploads/elementor/css/post-6354d.css	(from https://orlab.com.vn/)
11:57:29	8777/8777	---M--	200	added ('OK')	text/css	etag:%2265e6c226-2249%22	https://orlab.com.vn/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.11.2	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min991d.css	(from https://orlab.com.vn/)
11:57:30	47711/47711	---M--	200	added ('OK')	text/css	etag:%2265e6c22e-ba5f%22	https://orlab.com.vn/wp-content/uploads/elementor/css/global.css?ver=1709627773	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/uploads/elementor/css/global0e8a.css	(from https://orlab.com.vn/)
11:57:30	6757/6757	---M--	200	added ('OK')	text/css	etag:%2265ea8259-1a65%22	https://orlab.com.vn/wp-content/uploads/elementor/css/post-9313.css?ver=1709867609	E:/Projects/orlab/orlab/orlab.com.vn/wp-content/uploads/elementor/css/post-93136060.css	(from https://orlab.com.vn/)
